,level_upper,Название технического места
9259,11-ZIF-ZIF4-UPRG-PU34,Насос центробежный №А-29-1
9260,11-ZIF-Z123-STKM-UKM1-KMP1-SHSU,Щиты станции управления(ЩСУ)
9261,11-ZIF-ZIF4-ORP4-UFLT-PU03-KIPA,Оборудование КИПиА ПМУ ЧРП 34-18
9262,11-ZIF-Z123-GMO2-USR2-TA47,Колонна сорбции №157-5/5
9263,11-ZIF-Z123-UPVC-UCEN-PU13,Насос центробежный №510-4
9264,11-ZIF-Z123-ORP3-UFLT-PU17-KIPA,Оборудование КИПиА
9265,11-ZIF-Z123-GMO2-UREG-TA21-KIPA,Оборудование КИПиА
9266,11-RUD-KDRB-KDR2,Комплекс дробильный №2
9267,12-TRC-TR23,Автомобиль грузовой №С866НН124
9268,11-CSP-UDES-HEAT,Оборудование отопления и кондиционир-я
9269,11-ZIF-Z123-ORP1-UFLT-PU08,Насос центробежный №86а-2
9270,03-UTS-ASTU,АСТУ ТЭР
9271,05-ZIF-3GMU-2ODR-TA05-KIPA,Оборудование КИПиА
9272,11-ZIF-Z123-ORP1-UFLT-PU04-KIPA,Оборудование КИПиА
9273,05-AHB-CS02-SY01-TANK,Оборудование емкостное
9274,05-ZIF-3GMU-1OSC-3US1-TA12,Реактор сорбц. циан. I.650.7
9275,71-LES-TRUC-BLDZ,Выемочно-транспортирующие машины
9276,11-CSP-UPSG-PZF3-LINE,Линии воздушные и кабельные
9277,11-ZIF-Z123-UOSO-PU01,Насос центробежный №14-1
9278,05-ASF-CS01,Площадка вспомог. служб ПожДепо
9279,11-ZIF-ZIF4-GMO4-UOSH-PU32-KIPA,Оборудование КИПиА
9280,03-ZIF-ORPO-KSGF-PUMP,Насосы
9281,11-ZIF-Z123-ORP3-UPRR-TA05,Чан контактный №70-1
9282,73-BOD-UGEN-EKSP-VENT,Оборудование вентиляционное
9283,03-ZIF-PWCO,Подстанции трансформаторные
9284,71-TRA-AVTR-AVT3-TR2K,Полуприцеп №МУ262624
9285,73-VER-TRUC-TR47,Авто легковой грузопассажирский №О689ВА
9286,72-OMK-TRUC-TR1M,Автомобиль грузовой №С759ХО174
9287,11-ENC-UOS1-BOS1-LIFT,Оборудование грузоподъемное
9288,71-LES-SKLA-UVIS,ПП Лесосибирск. Участок Высокогорский
9289,71-LES-TRUC-OS01,Автогрейдер №МВ0144
9290,71-TRA-AVTR-AVT1-TR07,Машина комбинированная №А127ТТ24
9291,05-ZIF-BL03-HEEX,Теплообменники
9292,11-ZIF-Z123-GMO1-UREG-TA46,Емкость хранения и раздачи кислоты №183
9293,03-KON-0PDT-OS01,Автогрейдер № 1501
9294,72-OMK-TRUC-TRE7,Автомобиль грузовой-борт.Hilux№А949ВЕ49
9295,11-ZIF-Z123-ORP3-UIKR-MPEQ,Оборудование обогатительное
9296,71-PPE-TEHS-GRUZ-KIPA,Оборудование КИПиА
9297,11-ZIF-Z123-ORP3-UFLT-PU17,Насос центробежный №51-6
9298,11-ZIF-ZIF4-ORP4-UGRT-MQ12-VALV,Запорно-регулирующая арматура поз.43-8
9299,71-TRA-AVTR-AVT3-TR3Q,Кислотовоз (АЦК) №Н865ММ
9300,05-PAL-FU01,Здание КНС УПП
9301,11-ZIF-Z123-HVHZ-TA01,Емкость №КЧ100
9302,05-SGE-CTVS-UKTL-U928-TANK,Оборудование емкостное
9303,11-ZIF-ZIF4-ORP4-UGRT-MQ12-ASUT,АСУТП
9304,11-ZIF-Z123-ORP3-UFLT-TANK,Оборудование емкостное
9305,05-SGE-CSPS-UPST-TCHP-SOP1-BATT,Батареи аккумуляторные
9306,71-TRA-AVTR-AVT3-TR6W,Автомобиль фургон №Т307ХВ24
9307,12-TRC-TR13,Автомобиль легковой №Р001НН24
9308,11-ZIF-ZIF4-GMO4-UDKU-TA08,Емкость для обработки кислотой №280-2
9309,11-ZIF-ZIF4-ORP4-UIZK-PI01-VALV,Запорно-регулирующая арматура поз.37-1
9310,11-RUD-CGTR-SEBT-CC22,Самосвал карьерный №423
9311,03-ZIF-0GMO-ZOLG-PIPE,Трубопроводы
9312,11-ZIF-Z123-UOIZ-TECH,Оборудование тепломеханическое
9313,03-ZIF-ORPO-KSGF-TA03,Ёмкость буферная для флокулянта поз.37-4
9314,05-ZIF-BL04-PUMP,Насосы
9315,05-SGE-CTVS-KZIF-KTL1-DCMT,Машины электрические
9316,73-TAK-TRUC-LF03,Погрузчик фронтальный №РМ2277
9317,11-ZIF-Z123-ORP2-UIKR-PU04-KIPA,Оборудование КИПиА
9318,72-OMK-TRUC-LF02,Погрузчик вилочный №49ММ6988
9319,11-GRS-UTRN,Участок транспортный ГРС
9320,11-MGO-CRGT-ENSL-SHLD,"Шкафы, щиты, панели"
9321,11-RUD-CGTR-SETT-UCTT-EXCV,Экскаваторы
9322,11-ZIF-ZIF4-ORP4-TANK,Оборудование емкостное
9323,11-ZIF-Z123-GMO2-USR2-TA53,Колонна сорбции №157-6/2
9324,05-SGE-CSPS-UPST-PW37-DD02,Яч. РУ-10 кВ 1КТП2 НЗИФ МШЦ
9325,11-ZIF-Z123-GMO2-USR2-TA01-KIPA,Оборудование КИПиА
9326,03-ZIF-0GMO-USRB-SPEC,Оборудование специального назначения
9327,11-ZIF-ZIF4-GMO4-USOC-TA22-KIPA,Оборудование КИПиА
9328,11-ZIF-Z123-GMO1-USRB-TA10,Колонна сорбции №103/1-5
9329,11-ENC-TEC1-DISD,Устройства распределительные
9330,11-RUD-CGTR-SEBT-CD52,Самосвал карьерный №753
9331,72-OMK-TRUC-TR0O,Полуприцеп сортиментовоз №МЕ049049
9332,11-ZIF-Z123-GMO2-UREG-TA54,Емкость для серной кислоты №255
9333,11-ZIF-ZIF4-GMO4-UVVD-KO01-KIPA,Оборудование КИПиА
9334,05-SGE-CSPS-UPST-PW19-TRNS,Трансформаторы
9335,05-ZIF-BL01-HT52,Уст-ка газоочистная Отд.сорбц.циан. В17
9336,11-ZIF-Z123-UPVC-UCEN-PU27,Насос центробежный №521-2
9337,11-ZIF-Z123-ORP3-UIKR-CN06-KIPA,Оборудование КИПиА
9338,11-ZIF-Z123-ORP3-UFLT-MQ12,Флотомашина №42-3
9339,11-ZIF-ZIF4-GMO4-PU05,Насос №140-4
9340,05-KAR-UOGR-PF02,Погрузчик фронтальный №2
9341,05-SGE-CTVS-UTVS-UEXP-SKOS-RVZK-SPEC,Оборудование специального назначения
9342,72-OMK-TRUC-TR1G,Автоцистерна №С658МТ49
9343,03-ZIF-ENSZ-KO01,Компрессор винтовой поз.75-1
9344,11-ZIF-ZIF4-ORP4-UIZK-PU15,Насос центробежный №32-2
9345,03-ZIF-ORPO-UIZM-VENT,Вентиляторы
9346,11-ZIF-Z123-ORP2-UFLT-PU43-KIPA,Оборудование КИПиА
9347,11-ZIF-Z123-STKM-PUMP,Насосы
9348,11-ENC-UOS2-PIPE,Трубопроводы
9349,11-ZIF-Z123-GMO3-USRB-PU87,Насос центробежный №287-6
9350,73-VER-TRUC-TR87,Автомобиль скорой МП У397ЕК 138
9351,11-ZIF-Z123-ORP3-UIKR-TA04,Бункер №15-2
9352,71-TRA-AVTR-AVT3-TR41,Тягач седельный №В992АТ124
9353,11-ZIF-Z123-OBOK-BIO3-MQ01-KIPA,Оборудование КИПиА
9354,05-SGE-CSPS-UPST-PW60-DISD,Устройства распределительные
9355,11-ZIF-Z123-OBOK-BIO1-TA13,Реактор биоокисления №106-3-1
9356,11-ZIF-Z123-GMO2-USR2-TA12,Колонна
9357,11-ZIF-Z123-ORP3-UGRT-PU01-KIPA,Оборудование КИПиА
9358,11-ZIF-Z123-ORP3-DISD,Устройства распределительные
9359,05-KAR-UOGR-W201,Экскаватор электрический №1
9360,11-ZIF-Z123-ORP1-UIKR-PU09,Насос центробежный №54-1
9361,11-ZIF-ZIF4-GMO4-PU03,Насос №140-1
9362,03-RUD-EKSK-VOBR-EX04,Экскаватор №1211
9363,11-ZIF-ZIF4-ORP4-LIFT,Оборудование грузоподъемное
9364,11-ZIF-Z123-ORP2-USGN-PW01-DISD,Устройства распределительные
9365,11-ZIF-Z123-OBOK-BIO2-TA26-KIPA,Оборудование КИПиА
9366,11-ZIF-Z123-OBOK-BIO4-LAB4-KIPA,Оборудование КИПиА
9367,11-ZIF-Z123-GMO3-HEAT,Оборудование отопления и кондиционир-я
9368,05-ZIF-4GTS-STOV-BL01-PUMP,Насосы
9369,71-LES-TRUC-LF17,Погрузчик-ричстакер TEREX TFC45H 49ММ786
9370,71-LES-TRUC-LF04,Погрузчик вилочный №КК9708
9371,11-OZH-OZVP-BL11-SHLD,"Шкафы, щиты, панели"
9372,05-SGE-CSPS-UPST-PW32-DISD,Устройства распределительные
9373,03-RUD-UBVR-DR04,Станок буровой №1105
9374,71-LES-SKLA-UPRR,ПП Лесосибирск. Участок ПРР
9375,73-BOD-TRUC-TR69,Тягач седельный №Е381ТВ
9376,11-CSP-UPSG-PVID-EAPP,Аппараты электрические
9377,11-ZIF-Z123-ORP2-UFLT-MQ12,Флотомашина №26-4
9378,11-ENC-TEC2-BL02,Здание насосной станции градирни
9379,11-ZIF-ZIF4-UPRG-PU35-VALV,Запорно-регулирующая арматура
9380,11-ZIF-Z123-ORP3-UKRD-BL01,Здание корпус крупного дробления
9381,03-RUD-EKSK-OOBR-EX04-RLZA,РЗиА
9382,71-TRA-AVTR-AVT3-TR4T,Тягач седельный №Р225КН
9383,71-TRA-AVTR-AVTP-TR5F,Автомобиль пассажирский В312ОТ124
9384,11-ZIF-ZIF4-GMO4-STKL-KOMP,Оборудование компрессорное
9385,03-ZIF-ORPO-UIZM-ML01,Мельница поз.14
9386,03-ZIF-0GMO-OTRG,Отделение реагентное
9387,11-RUD-CGTR-SEBT-BE08,Самосвал карьерный №53
9388,11-ZIF-Z123-ORP2-UIKR,Участок измельч. и классиф. руды ОРПиО-2
9389,11-ZIF-ZIF4-HVHZ-PU01-KIPA,Оборудование КИПиА
9390,71-TRA-AVTR-AVTP-TR07,Автобус №А869НН124
9391,05-SGE-CSPS-UPST-PW75-DISD,Устройства распределительные
9392,05-SGE-CSPS-UPST-PW89-TRNS,Трансформаторы
9393,11-ZIF-Z123-GMO1-UREG-PU19-KIPA,Оборудование КИПиА
9394,11-ZIF-ZIF4-GMO4-UOSH-TA13-KIPA,Оборудование КИПиА
9395,05-SGE-CTVS-UTVS-UEXP-ST1P-WL03,Скв. №130
9396,11-RUD-CGTR-SEBT-CD04,Самосвал карьерный №704
9397,11-ZIF-Z123-GMO2-USR2-TA59-KIPA,Оборудование КИПиА
9398,03-ZAP-CS12,Проходная ЗИФ (СЛ) Участок Западный
9399,05-KAR-DSTU-RK01,Каток дорожный №2
9400,73-VER-TRUC-TR27,Топливозаправщик №Р413УТ
9401,11-RUD-CGTR-SEBT-CC17,Самосвал карьерный №418
9402,14-REG-SPEC,Оборудование специального назначения
9403,11-ENC-VODZ-DOSR-STNS-PUMP,Насосы
9404,11-GRS-BLDN,Здания производственные и бытовые
9405,73-BOD-TRUC-TR27,Полуприцеп №АМ6422
9406,71-TRA-AVTR-AVT2-TR2W,Топливозаправщик №Н857ММ124
9407,05-SGE-CTVS-UTVS-UEXP-ST2P-NS22-KIPA,Оборудование КИПиА
9408,11-ZIF-ZIF4-ORP4-UIZK-PU16-KIPA,Оборудование КИПиА поз.32-4
9409,14-OZH-TRNS,Трансформаторы
9410,11-ZIF-Z123-OBOK-BIO4-PU05-KIPA,Оборудование КИПиА
9411,05-SGE-CTVS-UKTL-KSTZ-TH01-TECH,Оборудование тепломеханическое
9412,11-ZIF-Z123-GMO3-USRB-PU03-KIPA,Оборудование КИПиА
9413,11-RUD-CGTR-SETT-UCTT-BZ01,Бульдозер гусеничный №07
9414,11-ZIF-ZIF4-ORP4-UFLT-MQ11-KIPA,Оборудование КИПиА поз.63-2-4
9415,11-ZIF-Z123-OBOK-BIO3-TA08,Зумпф №1-33-3а
9416,71-TRA-AVTR-AVT2-TR81,Самосвал №М006МК
9417,11-ZIF-Z123-OBOK-BIO2-TA25,Реактор биоокисления №167-5-2
9418,05-ZIF-2ORP-1OIZ-HC01-HC20,Гидроциклон I.006.5
9419,11-ZIF-ZIF4-GMO4-UDKU-TA13-KIPA,Оборудование КИПиА
9420,11-ZIF-ZIF4-UPRG-PUMP-PU53-KIPA,Оборудование КИПиА
9421,11-ENC-VODZ-DOSR-STNS-LIFT,Оборудование грузоподъемное
9422,05-SGE-CSPS-UPST-PW85,КТП-9 ТИ-45/44 Котельная №1 НЗИФ
9423,05-SGE-CSPS-UPST-PW14-DD02,Яч. РУ-10 кВ 1КТП4 гравитац.
9424,11-ZIF-Z123-ORP2-UFLT-PU35-KIPA,Оборудование КИПиА
9425,72-OMK-TRUC-TR1L,Фургон специальный с КМУ №С759АВ49
9426,03-ZIF-ORPO-UIZM-PU04-KIPA,Оборудование КИПиА
9427,11-RUD-CGTR-SETT-UDOT-EXCV,Экскаваторы
9428,71-TRA-AVTR-AVT2-TR80,Самосвал №М004МК
9429,11-ZIF-Z123-OBOK-BIO2-PU10,Насос центробежный №135-6
9430,05-SGE-CSPS-UPST-PW31,КТПк-630 НГОК. Резерв
9431,11-ZIF-Z123-UPVC-UCEN-DY05-ASUT,АСУТП
9432,11-ZIF-ZIF4-UPRG-PU26-KIPA,Оборудование КИПиА
9433,11-ZIF-ZIF4-ORP4-UDSF-TA02-KIPA,Оборудование КИПиА поз.33-4
9434,11-ENC-TEC2-ZOT2-SHLD,"Шкафы, щиты, панели"
9435,73-VER-TRUC-TR51,Авто легковой грузопассажирский №Р727ЕК
9436,71-TRA-AVTR-AVT3-TR2I,Полуприцеп №МУ262424
9437,11-ZIF-Z123-ORP1-UFLT-PU04,Насос центробежный №80б-3
9438,71-TRA-AVTR-AVTP-TR3E,Автобус вахтовый №С498РМ
9439,71-TRA-AVTR-AVT2-TR3N,Самосвал №С305ЕВ124
9440,11-ZIF-Z123-OBOK-OFZF-TA04,Емкость буферная №1-43-5
9441,72-OMK-TRUC-TR81,Автомобиль пассажирский №В795КВ49
9442,73-TAK-SKLA-LINE,Сети силовые
9443,71-LES-SKLA-SSRK,ПП Лесосибирск.Склад серной кислоты
9444,11-OZH-OZVP-BL13-SHLD,"Шкафы, щиты, панели"
9445,14-GOR-BZ02,Бульдозер гусеничный №8301ХВ24
9446,03-POS-PUMP,Насосы
9447,11-ENC-TEC2-BO04-GOLD,Золоуловители
9448,11-RUD-CGTR-SEBT-CC55,Самосвал карьерный №506
9449,05-ZIF-2ORP-2OGR-SI09,Грохот вибр. I.751.7
9450,11-ZIF-Z123-ORP1-UIKR-PU04,Насос центробежный №22-2
9451,11-ZIF-Z123-OBOK-OFZF-CS01,Станция затаривания №1-47-1
9452,05-ZIF-5UPR-TA04,Емк. распред. I.224
9453,72-OMK-TRUC-TR75,Тягач седельный №В661ЕВ49
9454,11-ZIF-Z123-UOSO-PU02,Насос центробежный №14-2
9455,05-SGE-CTVS-UKTL-K446-SHLD,"Шкафы, щиты, панели"
9456,15-PVI,Парк самосвалов Volvo ИПВ 6832 G6
9457,11-ENC-TEC2-DISD,Устройства распределительные
9458,03-UTS-KTL1-BOIL,Котлы паровые
9459,11-ZIF-ZIF4-GMO4-UINC-SC03,Пробоотборник №142-2
9460,05-SGE-CSPS-UPST-PW12-DISD,Устройства распределительные
9461,11-ZIF-Z123-ORP3-UIKR-ASUT,АСУТП
9462,11-ZIF-ZIF4-ORP4-UPRR-TANK,Оборудование емкостное
9463,11-ZIF-Z123-GMO3-UDEL-TA19,Электролизер №311-5
9464,05-ZIF-3GMU-1OSC-5UOB-TA04-KIPA,Оборудование КИПиА
9465,11-ZIF-ZIF4-UPRG-ML01-KIPA,Оборудование КИПиА
9466,05-KAR-UBVR-SLBB-CNST,Сооружения
9467,05-SGE,Служба главного энергетика
9468,11-ZIF-Z123-ORP3-UFLT-MQ12-KIPA,Оборудование КИПиА
9469,03-ZIF-0GMO-UDIC-PU01-KIPA,Оборудование КИПиА
9470,11-ZIF-Z123-ORP1-UIKR-SI01-KIPA,Оборудование КИПиА
9471,11-ZIF-Z123-OBOK-SPEC,Оборудование специального назначения
9472,11-RUD-UOSS-UOSV-HEAT,Оборудование отопления и кондиционир-я
9473,03-ZIF-0GMO-UDIC-PUMP,Насосы
9474,11-ZIF-Z123-ORP1-UIKR-KIPA,Оборудование КИПиА
9475,73-BOD-TRUC-TR0C,Автомобиль №Р375СХ
9476,03-ZIF-ORPO-KSGF-TA01,Станция приготовления флокулянтов поз.37
9477,11-RUD-CGTR-SEBT-BE14,Самосвал карьерный №59
9478,11-ICC-LPMP-MILL,Оборудование дробильно-размольное
9479,72-OMK-UREM-SPEC,Оборудование специального назначения
9480,05-SGE-CSPS-UPST-NZIF-SOP2-BATT,Батареи аккумуляторные
9481,05-SGE-CSPS-UPST-PW23,1КТП1 МПСИ
9482,05-SGE-CTVS-UTVS-UEXP-BBPG-TA02,Резервуар №2
9483,05-ZIF-2ORP-2OGR-MQ01-KIPA,Оборудование КИПиА
9484,11-ZIF-ZIF4-ORP4-UPRR-TA10-VALV,Запорно-регулирующая арматура поз.91
9485,11-ENC-TEC2-TNC4-PIPE,Трубопроводы
9486,71-TRA-AVTR-AVTP-TR0P,Автомобиль грузопассажирский №Р673НК124
9487,11-ZIF-Z123-GMO2-UREG-TA17,Колонна регенерации №209
9488,11-RUP-UAMU-LF01,Погрузчик вилочный
9489,11-ZIF-ZIF4-ORP4-KMDR-CN05,Конвейер ленточный №80-4а
9490,71-TRA-AVTR-AVT2-TR0S,Прицеп №МР5429
9491,73-TAK-SKLA-UPRR-KIPA,Оборудование КИПиА
9492,11-ZIF-ZIF4-ORP4-UGRT-MPEQ,Оборудование обогатительное
9493,73-BOD-TRUC-TR80,Автомобиль пассажирский №О502ВА
9494,11-ZIF-Z123-OBOK-BIO2-PU24-KIPA,Оборудование КИПиА
9495,03-CTT-CC02,Самосвал №1620
9496,11-ZIF-Z123-STKM-UKM2-KO08-KIPA,Оборудование КИПиА
9497,71-TRA-AVTR-AVT1-TR06,Машина комбинированная №А126ТТ24
9498,71-TRA-AVTR-AVT3-TR2R,Полуприцеп №МУ263324
9499,11-ZIF-ZIF4-ORP4-UGRT-MQ11-ASUT,АСУТП
9500,11-ZIF-Z123-ORP3-USGN-DY01-KIPA,Оборудование КИПиА
9501,03-KON-0PDT-OS02,Автогрейдер №1504
9502,11-ZIF-Z123-ORP2-UKDR-ASUT,АСУТП
9503,03-ZIF-ORPO-GROH-TA02-KIPA,Оборудование КИПиА
9504,03-KON-PVLV-VL04,Самосвал №2410
9505,11-RUD-UOSS-UOSB-FUNC,Сооружения очистные
9506,11-ZIF-ZIF4-UPRG-PUMP-PU52-KIP,Оборудование КИПиА
9507,11-ZIF-Z123-OBOK-BIO1-SELC,Силовая электроника
9508,11-ZIF-ZIF4-ORP4-UFLT-MQ03-KIPA,Оборудование КИПиА поз.63-1-2
9509,11-ZIF-Z123-UPVC-UCEN-DY01-ASUT,АСУТП
9510,11-ZIF-Z123-OBOK-BIO2-PU24,Насос центробежный №161-1
9511,71-TRA-AVTR-AVTP-TR16,Автобус №А942НН
9512,11-ZIF-Z123-OBOK-BIO3-TA15,Реактор биоокисления №167-1-4
9513,11-ZIF-Z123-ORP3-UIKR-ML04-ASUT,АСУТП
9514,71-LES-TRUC-TR23,Полуприцеп №МС3042
9515,11-ZIF-Z123-UPVC-UCEN-PU26,Насос центробежный №521-1
9516,71-PPE-SKLA-SGSM-TECH,Оборудование тепломеханическое
9517,71-TRA-AVTR-AVT2-TR35,Самосвал №В947АТ124
9518,03-ZIF-ORPO-UPFL-PU23-KIPA,Оборудование КИПиА
9519,11-ZIF-ZIF4-ORP4-UIZK-PU11,Насос песковый вертикальный №10-7
9520,11-ZIF-Z123-GMO3-USRB-PU74-KIPA,Оборудование КИПиА
9521,71-TRA-AVTR-AVT3-TR3K,Полуприцеп бортовой №МХ534124
9522,11-ENC-VODZ-DOSR-STNS-SHLD,"Шкафы, щиты, панели"
9523,05-KAR-UOGR-BZ01,Бульдозер гусеничный №1
9524,11-ZIF-Z123-OBOK-OFZF-PU21-KIPA,Оборудование КИПиА
9525,11-ZIF-Z123-ORP3-USGN,Участок сгущения ОРПиО-3
9526,71-TRA-AVTR-AVT2-TR10,Самосвал №А140ЕР124
9527,05-SGE-CSPS-UPST-PW25,1КТП2 ЭО МШЦ
9528,11-ZIF-Z123-GMO2-UREG-TA54-KIPA,Оборудование КИПиА
9529,11-MGO-CRGT-RGTT-SHLD,"Шкафы, щиты, панели"
9530,11-ZIF-Z123-OBOK-UPRR-TANK,Оборудование емкостное
9531,72-OMK-TRUC-TR2J,Автомобиль грузовой-бортовой №А978АН49
9532,11-ZIF-Z123-UOIZ-OV07,Печь шахтная известеобжиговая №6-4
9533,11-ZIF-Z123-GMO2-UOBZ-TANK,Оборудование емкостное
9534,11-ZIF-ZIF4-GMO4-UOSH-PU26-VALV,Запорно-регулирующая арматура
9535,05-ZIF-2ORP-2OGR-MQ41-KIPA,Оборудование КИПиА
9536,11-ZIF-Z123-HVHZ-USHS-PU07-KIPA,Оборудование КИПиА
9537,11-ZIF-ZIF4-ORP4-UFLT-PU50,Насос центробежный №65а-2
9538,71-TRA-AVTR-AVT1-TR63,Автомобиль бортовой №Р718НК
9539,71-TRA-AVTR-AVT3-TR37,Тягач седельный №В943АТ124
9540,11-ZIF-Z123-OBOK-BIO1-TA17-KIPA,Оборудование КИПиА
9541,11-ZIF-Z123-ORP2-USGN-DY05-SELC,Силовая электроника
9542,73-VER-SKLA-AHOP-CS01,Склад гипохлорита Склад АХОВ
9543,71-TRA-AVTR-AVT2-TR0L,Прицеп-самосвальный №МР5422
9544,03-ZIF-0GMO-KO03-KIPA,Оборудование КИПиА
9545,11-ZIF-Z123-ORP3-UMDR,Участок мелкого дробления ОРПиО-3
9546,11-ZIF-Z123-OBOK-BIO1-TA23,Реактор биоокисления №106-5-1
9547,11-ZIF-Z123-GMO3-UOBZ-PU02-KIPA,Оборудование КИПиА
9548,11-ZIF-ZIF4-ORP4-UDSF-DY01,Сгуститель №68-1
9549,11-ZIF-ZIF4-ORP4-UPRR-TA07,Чан контактный №115-1
9550,11-ZIF-Z123-ORP3-UFLT-MQ19-KIPA,Оборудование КИПиА
9551,03-ZIF-ORPO-PU03,Насос поз.150-18
9552,71-TRA-AVTR-AVT2-TR1E,Прицеп №МР5441
9553,11-RUD-CGTR-SEBT-CC40,Самосвал карьерный №441
9554,05-KAR-UBVR-SLBB-TECH,Оборудование тепломеханическое
9555,03-ZIF-ORPO-FENC,Ограждения и заборы
9556,11-ZIF-ZIF4-GMO4-PU03-KIPA,Оборудование КИПиА
9557,14-REG-EQUI,Оборуд-е ремонтное и диагностическое
9558,05-ZIF-3GMU-2ODR-VENT,Вентиляторы
9559,11-RUD-UOSS-UOSB-FILT,Фильтры
9560,11-ZIF-ZIF4-ORP4-UFLT-KO02,Компрессор винтовой №67-2
9561,11-RUD-CGTR-SEBT-CD35,Самосвал карьерный №736
9562,11-MGO-CRGT-RGKV,Ремгруппа к.Восточный
9563,05-KAR-UTTR,Участок технологического транспорта
9564,11-ENC-TEC1,ТЭЦ-1
9565,11-ZIF-Z123-ORP3-UFLT-PU07-KIPA,Оборудование КИПиА
9566,11-ZIF-Z123-GMO3-USRB-TA15,Чан контактный №196-4
9567,11-ZIF-ZIF4-ORP4-UDSF-HC01,Гидроциклон №35-5
9568,11-ZIF-Z123-STKM-UKM2-KO05,Компрессор ц/б №13
9569,71-TRA-AVTR-AVT2,Автоколонна №2
9570,11-ZIF-Z123-UPPR-KIIZ-ML02,Мельница шаровая №4
9571,11-ZIF-Z123-GMO1-USRB-SC02,Пробоотборник с вращ. ножом №100
9572,05-ZIF-2ORP-2OGR-PU29,Насос ц/б I.759.1
9573,11-ENC-VODZ-DOSR-STNS,Станция насосная Досеровский
9574,03-ZIF-0DSK-0DSU-MILL,Оборудование дробильно-размольное
9575,11-RUD-CBVZ-LP03,Станок буровой №68
9576,03-RUD-ENSK-ASTU,АСТУ ТЭР
9577,03-ZIF-0GMO-UDSR-PU10,Насос поз.400-30
9578,11-RUD-CGTR-SETT-UCTT-BZ09,Бульдозер гусеничный №201
9579,11-ZIF-ZIF4-GMO4-UOSH-SC01-KIPA,Оборудование КИПиА
9580,12-TRC-TR14,Автобус №Р104ОЕ124
9581,71-TRA-AVTR-AVTP-TR0Y,Автомобиль пассажирский №С638МН124
9582,72-OMK-TRUC-TR73,Автобус специальный №В645ЕВ49
9583,11-ZIF-ZIF4-ORP4-PW06-DISD,Устройства распределительные
9584,11-RUD-CGTR-SETT-UDOT-BZ18,Специальная машина №3815
9585,11-ZIF-Z123-OBOK-BIO2-HEAT,Оборудование отопления и кондиционир-я
9586,11-RUD-VOST-MAST,Мачты осветительные
9587,11-ZIF-Z123-STKM-UKM1-KO10-KIPA,Оборудование КИПиА
9588,11-ZIF-ZIF4-ORP4-UFLT-PU09-KIPA,Оборудование КИПиА поз.65-2
9589,71-PPE-TEHS-AVRM-LIFT,Оборудование грузоподъемное
9590,71-TRA-AVTR-AVT2-TR57,Автоцистерна №Е362АК24
9591,03-ZIF-HHOZ-FENC,Ограждения и заборы
9592,11-ZIF-Z123-UPPR-KPRK-TA14,Чан контактный №А-19
9593,11-ZIF-ZIF4-UPRG-PU35-KIPA,Оборудование КИПиА
9594,03-KON-PPRC,Парк прицепов
9595,03-ZIF-0GMO-INTC-PU01,Насос дренажный поз.150-10
9596,03-ZIF-0GMO-USRB-TA03-KIPA,Оборудование КИПиА
9597,11-RUD-CBVZ-SB01,Станок буровой №18
9598,11-ZIF-ZIF4-CS01,Склад №МТР Благодатное
9599,11-ENC-TEC2-ML02,Дробилка валковая
9600,11-ZIF-Z123-GMO2-USR2-TA32,Колонна сорбции №157-3/8
9601,71-TRA-AVTR-AVT2-TR16,Самосвал №А169ЕР124
9602,11-ZIF-ZIF4-ORP4-SHSU,Щиты станции управления(ЩСУ)
9603,71-TRA-AVTR-AVT3-TR4O,Самосвал №О678ВА124
9604,73-BOD-SKLA-SGSM-TANK,Оборудование емкостное
9605,11-ENC-UOS1-KNS2-BL01,Здание канализационной насосной станции
9606,11-ZIF-Z123-ORP3-UIKR-PI01-KIPA,Оборудование КИПиА
9607,03-ZIF-0GMO-PZPK-KIPA,Оборудование КИПиА
9608,05-SGE-CSPS-UPST-PW15-DISD,Устройства распределительные
9609,05-ZIF-2ORP-1OIZ-PU02-KIPA,Оборудование КИПиА
9610,11-ZIF-Z123-ORP1-UIKR-ML02-KIPA,Оборудование КИПиА
9611,72-OMK-TRUC-TR2V,Автобус France SFR160 Crossway В593СВ
9612,11-ZIF-ZIF4-GMO4-UDKU-TA08-KIPA,Оборудование КИПиА
9613,05-ZIF-2ORP-2OGR-PU20-KIPA,Оборудование КИПиА
9614,11-ZIF-Z123-GMO3-UFLT-KO12,Компрессор ц/б №185г-9
9615,11-ZIF-Z123-OBOK-BIO1-PU51,Насос центробежный
9616,03-ZIF-0DSK-0DKK-MILL,Оборудование дробильно-размольное
9617,11-ZIF-Z123-GMO2-USR2-TA51,Колонна сорбции №157-5/9
9618,05-KAR-UTTR-K711,Самосвал карьерный №8
9619,03-ZIF-0GMO-UOBS-TA04,Чан контактный поз.132
9620,11-RUD-BLAG-ENSL-TRNS,Трансформаторы
9621,11-ZIF-Z123-GMO3-USRB-PU26,Насос центробежный №200-1
9622,11-ZIF-Z123-UOSO-TA06-KIPA,Оборудование КИПиА
9623,72-OMK-SKLA-SGSM-KIPA,Оборудование КИПиА
9624,11-RUD-BLAG-UGBL-P602,Экскаватор гидравлический №504
9625,03-ZIF-0GMO-UGHD-TA01-KIPA,Оборудование КИПиА
9626,72,Магаданский филиал
