,level_upper,Название технического места
266,11-ZIF-ZIF4-ORP4-UFLT-MQ07-VA04,Клапан контроля уровня LCV01
267,11-RUD-CGTR-SEBT-CD55,Самосвал карьерный №756
268,11-ZIF-ZIF4-GMO4-USOC-TA22,Бак расходный №153А
269,11-RUD-BLAG-UGBL-P801,Экскаватор гидравлический №07
270,11-ZIF-ZIF4-GMO4-UFLT-FILT,Фильтры
271,11-ZIF-Z123-HVHZ-SNOV-PU19,Насос центробежный №3 БНСОВ
272,11-RUD-CGTR-SEBT-K785,Самосвалы Komatsu HD785-5
273,72-OMK-TRUC-TR0Q,Полуприцеп сортиментовоз №МЕ049549
274,05-SGE-CTVS-UTVS,Участок тепловодосн. и канализ.
275,05-ZIF-3GMU-1OSC-2UIK-TA05,Зумпф 2-секц. для насосов I.802.2
276,72-OMK-UREM,ПП Омчак. Участок по рем.трансп.средств
277,05-SGE-CTVS-UTVS-UEXP-ST2P-VPU2-TANK,Оборудование емкостное
278,11-ZIF-ZIF4-ORP4-UGRT-PU06,Насос центробежный №34-16
279,05-SGE-CSPS-UPST-PW47-DISD,Устройства распределительные
280,71-TRA-AVTR-AVT2-TR3C,Самосвал №Н934ММ124
281,11-ZIF-Z123-STKM-UKM2-BL01-KIPA,Оборудование КИПиА
282,11-ZIF-ZIF4-GMO4-UINC-TANK,Оборудование емкостное
283,11-ZIF-Z123-GMO3-PW05-TRNS,Трансформаторы
284,11-ZIF-Z123-GMO2-USR1-TA07-KIPA,Оборудование КИПиА
285,05-SGE-CSPS-UPST-SZIF-BB02,Секция шин №2
286,11-ENC-TEC1-BO03,Котёл паровой
287,11-ZIF-ZIF4-GMO4-UDKU-TA03-KIPA,Оборудование КИПиА
288,05-ZIF-5UPR-PU44,Насос химический I.293.2
289,05-ZIF-3GMU-1OSC-4US2-TA09,Реактор сорбц. циан. с МПУ I.507TK
290,11-ZIF-Z123-OBOK-BIO4-TA10,Реактор биокисления №167-7/6
291,05-ZIF-2ORP-2OGR-MQ17-KIPA,Оборудование КИПиА
292,11-ZIF-Z123-UOSO-TA03,Чан контактный №13-2
293,03-RUD-UVSP-BZ07,Бульдозер №1413
294,11-ZIF-Z123-GMO1-USRB-TA13,Колонна сорбции №103/1-8
295,11-ZIF-ZIF4-UPRG-TA07-VALV,Запорно-регулирующая арматура
296,71-TRA-AVTR-AVT2-TR3R,Самосвал №С348ЕВ124
297,11-ZIF-ZIF4-ORP4-KMDR-CN03-ASUT,АСУТП
298,11-ZIF-Z123-ORP2-UIKR-ML02-KIPA,Оборудование КИПиА
299,11-ZIF-Z123-OBOK-BIO3-MQ11-KIPA,Оборудование КИПиА
300,71-TRA-AVTR-AVT3-TR30,Тягач седельный В518ОС124
301,03-RUD-UBVR-DR08,Буровой станок СБШ-250 № 1109
302,11-RUD-CGTR-SEBT-CC47,Самосвал карьерный №448
303,71-TRA-AVTR-AVT2-TR4R,Автоцистерна №Т813ХУ24
304,71-TRA-AVTR-AVTP-TR0K,Автомобиль пассажирский №Р387КН
305,03-POZ-BLDN,Здания производственные и бытовые
306,11-ZIF-Z123-GMO3-UDEL-TA14,Колонна десорбции №305-4
307,11-ZIF-Z123-ORP1-UFLT-PU03-KIPA,Оборудование КИПиА
308,11-ZIF-ZIF4-GMO4-UDKU-PU09-KIPA,Оборудование КИПиА
309,05-SGE-CSPS-UPST-MLDZ-BB01,Секция шин №1
310,11-ZIF-ZIF4-GMO4-UDKU-TA13,Емкость после кислотной обработки №289-1
311,11-ZIF-Z123-UPPR-KIIZ-PW01,Комплектная трансформаторная подстанция
312,11-ZIF-Z123-GMO2-USR2-TA14,Колонна цианирования №156-4/1
313,03-ZIF-0GMO-OTRG-TA07,Чан контактный с пер. устр-вом поз.204
314,11-ZIF-ZIF4-ORP4-UIZK-ML02-KIPA,Оборудование КИПиА поз.30-2
315,11-ZIF-Z123-K123-SHLD,"Шкафы, щиты, панели"
316,11-ZIF-Z123-GMO2-USR2-TA36-KIPA,Оборудование КИПиА
317,03-RUD-EKSK-VOBR-EX06,Экскаватор №1214
318,11-CSP-UPSG-PBI4-TRNS,Трансформаторы
319,11-ZIF-ZIF4-ORP4-UIZK-TA13-VALV,Запорно-регулирующая арматура
320,11-ZIF-Z123-GMO2-USR1-PU01-KIPA,Оборудование КИПиА
321,11-ZIF-Z123-ORP1-UFLT-PU08-KIPA,Оборудование КИПиА
322,11-ZIF-ZIF4-ORP4-UGRT-MQ03,Концентратор №43-11
323,11-ZIF-Z123-OBOK-BIO3-PU08-KIPA,Оборудование КИПиА
324,11-ZIF-Z123-GMO3-BL01-VENT,Вентиляторы
325,70-TRA-TR19,Автомобиль легковой №K585HM124
326,03-ZIF-ORPO-GROH-PI09-KIPA,Оборудование КИПиА
327,05-SGE-CSPS-UPST-PW03,"КТП-17 ГМ-5/6 АЗС карьер, ППВ"
328,73-BOD-TRUC-TR93,Автотопливозаправщик №О802ХУ
329,11-RUD-CGTR-SETT-UDST,Участок дорожный СЭТТ
330,03-ZIF-ORPO-UPFL-PU16-KIPA,Оборудование КИПиА
331,11-ENC-TEC1-TNC3-BL01-KIPA,Оборудование КИПиА
332,11-ZIF-Z123-GMO3-UFLT-PU07,Насос центробежный №213-1
333,11-ZIF-ZIF4-GMO4-USOC-PU43,Насос центробежный №162-4
334,11-RUD-CGTR-SEBT-BE13,Самосвал карьерный №58
335,11-RUD-CGTR-SEBT-CD43,Самосвал карьерный №744
336,05-SGE-CSPS-UPST-NZIF-BB01,Секция шин №1
337,11-ENC-TEC1-TNC2-BL01-KIPA,Оборудование КИПиА
338,11-ZIF-Z123-GMO2-UOBZ-PU05-KIPA,Оборудование КИПиА
339,05-ZIF-4GTS-KSGU-CS01-HEAT,Оборудование отопления и кондиционир-я
340,11-ENC-TEC1-BO06-TECH,Оборудование тепломеханическое
341,11-ZIF-Z123-GMO3-UFLT-LIFT,Оборудование грузоподъемное
342,11-ZIF-ZIF4-GMO4-USOC-PU12-KIPA,Оборудование КИПиА
343,71-TRA-AVTR-AVT3-TR22,Тягач седельный №В178ХА24
344,73-BOD-TRUC-TR0E,Автомобиль грузовой №Р512УР
345,11-RUD-CGTR-SEBT-CD87,Самосвал карьерный №788
346,74-TRA-TR13,НЕФАЗ 9334 АВ 9559 14
347,71-TRA-AVTR-AVT3-TR79,Полуприцеп сортиментовоз №НА1801
348,03-IKT-OPAV-TRAN,Автотранспорт
