,Завод,ЕО код,ЕО описание,Основной Класс ЕО код,Основной Класс ЕО описание,Класс ЕО код,Техместо код,Техместо описание,Вышестоящее техместо код,Вышестоящее техместо наименование,Дата начала эксплуатации
74,Олимпиадинский ГОК,100000062749,Экскаватор электрический ЭКГ-10 №21,E03_02,Экскаваторы электрич,Экскаваторы электрические,11-RUD-VOST-UGVS-E108,Экскаватор электрический №21,11-RUD-VOST-UGVS-EG10,Экскаваторы ЭКГ-10,30.11.2006
75,Олимпиадинский ГОК,100000061757,Установка буровая PS1000 №8660ХА24,E02_02,Станки буровые вращ.,Станки буровые вращ. бур. коронками,11-GRS-UBUR-DR05,Установка буровая №8660ХА24,11-GRS-UBUR-DRIL,Оборудование буровое,29.12.2006
76,Олимпиадинский ГОК,100000027472,Бульдозер D155A-5 №3322,E05_02,Бульдозеры гусеничны,Бульдозеры гусеничные,11-RUD-CGTR-SETT-UCTT-BZ63,Бульдозер гусеничный №3322,11-RUD-CGTR-SETT-UCTT-BLDZ,Выемочно-транспортирующие машины,27.02.2007
77,Олимпиадинский ГОК,100000028865,Установка буровая CS10 №8663ХА24,E02_05,Станки буровые ударн,Станки буровые ударно-канатного бурения,11-GRS-UBUR-DR06,Установка буровая №8663ХА24,11-GRS-UBUR-DRIL,Оборудование буровое,21.11.2006
78,Олимпиадинский ГОК,100000052088,Машина многоцел МКСМ-800 №8323XB24,E17_11,Погрузчики фронтальн,Погрузчики фронтальные,11-MGO-CRGT-RGBB-LF13,Машина многоцелевая,11-MGO-CRGT-RGBB-LIFT,Оборудование грузоподъемное,22.06.2007
79,Олимпиадинский ГОК,100000061904,Установка буровая БМ-831 №02,E02_02,Станки буровые вращ.,Станки буровые вращ. бур. коронками,11-RUD-VOST-ENSL-DR02,Установка буровая БМ-831 №02,11-RUD-VOST-ENSL-DRIL,Оборудование буровое,30.06.2007
80,Олимпиадинский ГОК,100000065953,Бульдозер WD600-3 №25,E05_01,Бульдозеры колесные,Бульдозеры колесные,11-RUD-CGTR-SETT-UDOT-BZ05,Бульдозер колесный №25,11-RUD-CGTR-SETT-UDOT-BLDZ,Выемочно-транспортирующие машины,20.12.2007
81,Олимпиадинский ГОК,100000062752,Экскаватор гидравл. PC1250-7 №04,E03_01,Экскаваторы гидравли,Экскаваторы гидравлические,11-RUD-VOST-UGVS-P701,Экскаватор гидравлический №04,11-RUD-VOST-UGVS-PC17,Экскаваторы PC1250-7,12.12.2007
82,Олимпиадинский ГОК,100000058897,Бульдозер D11R №125,E05_02,Бульдозеры гусеничны,Бульдозеры гусеничные,11-RUD-CGTR-SETT-UCTT-BZ05,Бульдозер гусеничный №125,11-RUD-CGTR-SETT-UCTT-BLDZ,Выемочно-транспортирующие машины,29.12.2007
83,Олимпиадинский ГОК,100000043598,ЭД асинх,E03_02,Экскаваторы электрич,Двигатели асинхронные,11-RUD-BLAG-UGBL-E101,Экскаватор электрический №22,11-RUD-BLAG-UGBL-EG10,Экскаваторы ЭКГ-10,31.12.2007
84,Олимпиадинский ГОК,100000061735,Экскаватор электрический ЭКГ-10 №22,E03_02,Экскаваторы электрич,Экскаваторы электрические,11-RUD-BLAG-UGBL-E101,Экскаватор электрический №22,11-RUD-BLAG-UGBL-EG10,Экскаваторы ЭКГ-10,31.12.2007
85,Олимпиадинский ГОК,100000061759,Установка буровая CS14 №32,E02_05,Станки буровые ударн,Станки буровые ударно-канатного бурения,11-GRS-UBUR-DR01,Установка буровая №32,11-GRS-UBUR-DRIL,Оборудование буровое,26.11.2007
86,Олимпиадинский ГОК,100000061905,Станок буровой СБШ-250 МНА-32 №18,E02_02,Станки буровые вращ.,Станки буровые вращ. бур. коронками,11-RUD-CBVZ-SB01,Станок буровой №18,11-999-1105,Удал. оборудование КБЕ ГТК,31.01.2008
87,Олимпиадинский ГОК,100000058906,Бульдозер D275A-5 №32,E05_02,Бульдозеры гусеничны,Бульдозеры гусеничные,11-RUD-CGTR-SETT-UCTT-BZ14,Бульдозер гусеничный №32,11-RUD-CGTR-SETT-UCTT-BLDZ,Выемочно-транспортирующие машины,18.06.2008
88,Олимпиадинский ГОК,100000061906,Станок буровой СБШ-250 МНА-32 №19,E02_02,Станки буровые вращ.,Станки буровые вращ. бур. коронками,11-RUD-CBVZ-SB02,Станок буровой №19,11-999-1105,Удал. оборудование КБЕ ГТК,25.03.2008
89,Олимпиадинский ГОК,100000045100,Двигатель внутр.сгорания №80260175,E06_01,Автогрейдеры,Узлы. ДВС,11-RUD-CGTR-SETT-UDST-OS03,Автогрейдер №21,11-RUD-CGTR-SETT-UDST-ODRS,Оборудование дорожно-строительное,07.08.2008
90,Олимпиадинский ГОК,100000065592,Самосвал карьерный 777F №137,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CF02,Самосвал карьерный №137,11-RUD-CGTR-SEBT-C77F,Самосвалы CAT 777F,21.10.2008
91,Олимпиадинский ГОК,100000065593,Самосвал карьерный 777F №136,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CF01,Самосвал карьерный №136,11-RUD-CGTR-SEBT-C77F,Самосвалы CAT 777F,19.11.2008
92,Олимпиадинский ГОК,100000065594,Самосвал карьерный 777F №138,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CF03,Самосвал карьерный №138,11-RUD-CGTR-SEBT-C77F,Самосвалы CAT 777F,20.10.2008
93,Олимпиадинский ГОК,100000065595,Самосвал карьерный 777F №140,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CF05,Самосвал карьерный №140,11-RUD-CGTR-SEBT-C77F,Самосвалы CAT 777F,19.11.2008
94,Олимпиадинский ГОК,100000065596,Самосвал карьерный 777F №139,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CF04,Самосвал карьерный №139,11-RUD-CGTR-SEBT-C77F,Самосвалы CAT 777F,10.11.2008
95,Олимпиадинский ГОК,100000043592,ЭД асинх,E03_02,Экскаваторы электрич,Двигатели асинхронные,11-RUD-VOST-UGVS-E502,Экскаватор электрический №11,11-RUD-VOST-UGVS-EG5A,Экскаваторы ЭКГ-5А,01.01.2009
96,Олимпиадинский ГОК,100000062754,Экскаватор электрический ЭКГ-5А №11,E03_02,Экскаваторы электрич,Экскаваторы электрические,11-RUD-VOST-UGVS-E502,Экскаватор электрический №11,11-RUD-VOST-UGVS-EG5A,Экскаваторы ЭКГ-5А,01.01.2009
97,Олимпиадинский ГОК,100000028868,Самосвал карьерный 785C №401,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC01,Самосвал карьерный №401,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,04.03.2009
98,Олимпиадинский ГОК,100000062367,Самосвал карьерный 785C №402,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC02,Самосвал карьерный №402,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,31.03.2009
99,Олимпиадинский ГОК,100000061910,Станок буровой DML LP №68,E02_03,Станки буровые ударн,Станки буровые ударно-вращательного бур.,11-RUD-CBVZ-LP03,Станок буровой №68,11-RUD-CBVZ-DMLP,Станки буровые DML LP,31.03.2009
100,Олимпиадинский ГОК,100000062368,Самосвал карьерный 785C №406,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC06,Самосвал карьерный №406,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,06.05.2009
101,Олимпиадинский ГОК,100000062369,Самосвал карьерный 785C №403,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC03,Самосвал карьерный №403,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,06.05.2009
102,Олимпиадинский ГОК,100000062370,Самосвал карьерный 785C №404,E01_01,Самосвалы карьерные,Самосвалы карьерные,11-RUD-CGTR-SEBT-CC04,Самосвал карьерный №404,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,06.05.2009
