,Заказ,БазисСрокНачала,Плановая дата,ПользСтатус (заказа),СистСтатус,ОбщееВремяПростояТК,Краткий текст,СистСтатСообщТОРО,ЕО; teh_mesto; СПП-ЗаголЗаказа
86,1600129311,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена HD1500-8 №1627,СОРА ЗКПР,"100000022743
03-CTT-KM07
LT-1200-2022-2-014-02"
87,1600129276,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 1 смена HD1500-8 №1627,СОРА ЗКПР,"100000022743
03-CTT-KM07
LT-1200-2022-2-014-02"
88,1600129635,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал HD1500-8 №1624,СОРА ЗКПР,"100000021344
03-CTT-KM04
LT-1200-2022-2-014-02"
89,1600129547,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 1 смена Самосвал 785C №1619,СОРА ЗКПР,"100000008673
03-CTT-CC01
LT-1200-2022-2-014-02"
90,1600129554,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал 785C №1619,СОРА ЗКПР,"100000008673
03-CTT-CC01
LT-1200-2022-2-014-02"
91,1600129661,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1613,СОРА ЗКПР,"100000008670
03-CTT-KD05
LT-1200-2022-2-014-02"
92,1600129450,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1609,СОРА ЗКПР,"100000008666
03-CTT-KD01
LT-1200-2022-2-014-02"
93,1600129443,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-7 №1609,СОРА ЗКПР,"100000008666
03-CTT-KD01
LT-1200-2022-2-014-02"
94,1600129646,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 1 смена Komatsu HD785-7 №1613,СОРА ЗКПР,"100000008670
03-CTT-KD05
LT-1200-2022-2-014-02"
95,1600129645,2022-01-28,1/28/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №4  СЛ,СОРА ЗКПР,"100000068230
03-KON-OBSL-OB05
nan"
