,eo_code,eo_description,teh_mesto,mvz,eo_class_code,eo_class_description,eo_main_code,eo_main_description,eo_main_class_code,eo_main_class_description,teh_mesto_description,level_upper,code,level_1,level_1_code,level_2_code,level_2_path,level_3_code,level_5,level_6,level_7,level_8
32607,100000065600,Самосвал карьерный 777F №144,11-RUD-CGTR-SEBT-CF09,1113011120.0,E01_01,Самосвалы карьерные,100000065600,Самосвал карьерный 777F №144,E01_01,Самосвалы карьерные,Самосвал карьерный №144,11-RUD-CGTR-SEBT-C77F,first11-RUD-CGTR-SEBT-CF09,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
32616,100000065602,Самосвал карьерный 777F №145,11-RUD-CGTR-SEBT-CF10,1113011120.0,E01_01,Самосвалы карьерные,100000065602,Самосвал карьерный 777F №145,E01_01,Самосвалы карьерные,Самосвал карьерный №145,11-RUD-CGTR-SEBT-C77F,first11-RUD-CGTR-SEBT-CF10,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
32625,100000065606,Самосвал карьерный 785C №501,11-RUD-CGTR-SEBT-CC50,1113011620.0,E01_01,Самосвалы карьерные,100000065606,Самосвал карьерный 785C №501,E01_01,Самосвалы карьерные,Самосвал карьерный №501,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC50,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
32634,100000065607,Самосвал карьерный 785C №502,11-RUD-CGTR-SEBT-CC51,1113011620.0,E01_01,Самосвалы карьерные,100000065607,Самосвал карьерный 785C №502,E01_01,Самосвалы карьерные,Самосвал карьерный №502,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC51,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
32643,100000065608,Самосвал карьерный 785C №503,11-RUD-CGTR-SEBT-CC52,1113011620.0,E01_01,Самосвалы карьерные,100000065608,Самосвал карьерный 785C №503,E01_01,Самосвалы карьерные,Самосвал карьерный №503,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC52,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
32652,100000065609,Самосвал карьерный 785C №504,11-RUD-CGTR-SEBT-CC53,1113011620.0,E01_01,Самосвалы карьерные,100000065609,Самосвал карьерный 785C №504,E01_01,Самосвалы карьерные,Самосвал карьерный №504,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC53,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
32661,100000065611,Самосвал карьерный 785C №505,11-RUD-CGTR-SEBT-CC54,1113011620.0,E01_01,Самосвалы карьерные,100000065611,Самосвал карьерный 785C №505,E01_01,Самосвалы карьерные,Самосвал карьерный №505,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC54,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
32948,100000065967,Самосвал карьерный 785C №423,11-RUD-CGTR-SEBT-CC22,1113011620.0,E01_01,Самосвалы карьерные,100000065967,Самосвал карьерный 785C №423,E01_01,Самосвалы карьерные,Самосвал карьерный №423,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC22,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
32970,100000065612,Самосвал карьерный 785C №506,11-RUD-CGTR-SEBT-CC55,1113011620.0,E01_01,Самосвалы карьерные,100000065612,Самосвал карьерный 785C №506,E01_01,Самосвалы карьерные,Самосвал карьерный №506,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC55,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
32977,100000065613,Самосвал карьерный 785C №507,11-RUD-CGTR-SEBT-CC56,1113011620.0,E01_01,Самосвалы карьерные,100000065613,Самосвал карьерный 785C №507,E01_01,Самосвалы карьерные,Самосвал карьерный №507,11-RUD-CGTR-SEBT-C785,first11-RUD-CGTR-SEBT-CC56,first11,11,RUD,11-RUD,CGTR,-,CGTR,SEBT,no_data
