level_1,eo_code,month_year,eo_model_id,man_hours
first11,100000062387,6_2024,65,86.55
first11,100000062387,6_2025,65,117.39
first11,100000062387,7_2023,65,166.56
first11,100000062387,7_2024,65,161.31
first11,100000062387,8_2023,65,88.71
first11,100000062387,8_2024,65,87.21000000000001
first11,100000062387,9_2023,65,86.55
first11,100000062387,9_2024,65,124.8
first11,100000062388,10_2023,65,123.66
first11,100000062388,10_2024,65,92.01
first11,100000062388,11_2023,65,94.8
first11,100000062388,11_2024,65,116.55
first11,100000062388,12_2023,65,117.21000000000001
first11,100000062388,12_2024,65,95.46000000000001
first11,100000062388,1_2023,65,87.21000000000001
first11,100000062388,1_2024,65,129.81
first11,100000062388,1_2025,65,159.81
first11,100000062388,2_2023,65,86.73
first11,100000062388,2_2024,65,124.14
first11,100000062388,2_2025,65,85.23
first11,100000062388,3_2023,65,117.21000000000001
first11,100000062388,3_2024,65,87.21000000000001
first11,100000062388,3_2025,65,88.71000000000001
first11,100000062388,4_2023,65,98.10000000000001
first11,100000062388,4_2024,65,502.8
first11,100000062388,4_2025,65,129.75
first11,100000062388,5_2023,65,118.71000000000001
first11,100000062388,5_2024,65,125.46000000000001
first11,100000062388,5_2025,65,87.21000000000001
first11,100000062388,6_2023,65,86.55
first11,100000062388,6_2024,65,86.55
first11,100000062388,6_2025,65,117.39
first11,100000062388,7_2023,65,166.56
first11,100000062388,7_2024,65,161.31
first11,100000062388,8_2023,65,88.71
first11,100000062388,8_2024,65,87.21000000000001
first11,100000062388,9_2023,65,86.55
first11,100000062388,9_2024,65,124.8
first11,100000062389,10_2023,65,123.66
first11,100000062389,10_2024,65,92.01
first11,100000062389,11_2023,65,94.8
first11,100000062389,11_2024,65,116.55
first11,100000062389,12_2023,65,117.21000000000001
first11,100000062389,12_2024,65,95.46000000000001
first11,100000062389,1_2023,65,87.21000000000001
first11,100000062389,1_2024,65,129.81
first11,100000062389,1_2025,65,159.81
first11,100000062389,2_2023,65,86.73
first11,100000062389,2_2024,65,124.14
first11,100000062389,2_2025,65,85.23
first11,100000062389,3_2023,65,117.21000000000001
first11,100000062389,3_2024,65,87.21000000000001
first11,100000062389,3_2025,65,88.71000000000001
first11,100000062389,4_2023,65,98.10000000000001
first11,100000062389,4_2024,65,502.8
first11,100000062389,4_2025,65,129.75
first11,100000062389,5_2023,65,118.71000000000001
first11,100000062389,5_2024,65,125.46000000000001
first11,100000062389,5_2025,65,87.21000000000001
first11,100000062389,6_2023,65,86.55
first11,100000062389,6_2024,65,86.55
first11,100000062389,6_2025,65,117.39
first11,100000062389,7_2023,65,166.56
first11,100000062389,7_2024,65,161.31
first11,100000062389,8_2023,65,88.71
first11,100000062389,8_2024,65,87.21000000000001
first11,100000062389,9_2023,65,86.55
first11,100000062389,9_2024,65,124.8
first11,100000062390,10_2023,65,123.66
first11,100000062390,10_2024,65,92.01
first11,100000062390,11_2023,65,94.8
first11,100000062390,11_2024,65,116.55
first11,100000062390,12_2023,65,117.21000000000001
first11,100000062390,12_2024,65,95.46000000000001
first11,100000062390,1_2023,65,87.21000000000001
first11,100000062390,1_2024,65,129.81
first11,100000062390,1_2025,65,159.81
first11,100000062390,2_2023,65,86.73
first11,100000062390,2_2024,65,124.14
first11,100000062390,2_2025,65,85.23
first11,100000062390,3_2023,65,117.21000000000001
first11,100000062390,3_2024,65,87.21000000000001
first11,100000062390,3_2025,65,88.71000000000001
first11,100000062390,4_2023,65,98.10000000000001
first11,100000062390,4_2024,65,502.8
first11,100000062390,4_2025,65,129.75
first11,100000062390,5_2023,65,118.71000000000001
first11,100000062390,5_2024,65,125.46000000000001
first11,100000062390,5_2025,65,87.21000000000001
first11,100000062390,6_2023,65,86.55
first11,100000062390,6_2024,65,86.55
first11,100000062390,6_2025,65,117.39
first11,100000062390,7_2023,65,166.56
first11,100000062390,7_2024,65,161.31
first11,100000062390,8_2023,65,88.71
first11,100000062390,8_2024,65,87.21000000000001
first11,100000062390,9_2023,65,86.55
first11,100000062390,9_2024,65,124.8
first11,100000062391,10_2023,65,123.66
first11,100000062391,10_2024,65,92.01
first11,100000062391,11_2023,65,94.8
first11,100000062391,11_2024,65,116.55
first11,100000062391,12_2023,65,117.21000000000001
first11,100000062391,12_2024,65,95.46000000000001
first11,100000062391,1_2023,65,87.21000000000001
first11,100000062391,1_2024,65,129.81
first11,100000062391,1_2025,65,159.81
first11,100000062391,2_2023,65,86.73
first11,100000062391,2_2024,65,124.14
first11,100000062391,2_2025,65,85.23
first11,100000062391,3_2023,65,117.21000000000001
first11,100000062391,3_2024,65,87.21000000000001
first11,100000062391,3_2025,65,88.71000000000001
first11,100000062391,4_2023,65,98.10000000000001
first11,100000062391,4_2024,65,502.8
first11,100000062391,4_2025,65,129.75
first11,100000062391,5_2023,65,118.71000000000001
first11,100000062391,5_2024,65,125.46000000000001
first11,100000062391,5_2025,65,87.21000000000001
first11,100000062391,6_2023,65,86.55
first11,100000062391,6_2024,65,86.55
first11,100000062391,6_2025,65,117.39
first11,100000062391,7_2023,65,166.56
first11,100000062391,7_2024,65,161.31
first11,100000062391,8_2023,65,88.71
first11,100000062391,8_2024,65,87.21000000000001
first11,100000062391,9_2023,65,86.55
first11,100000062391,9_2024,65,124.8
first11,100000062392,10_2023,65,123.66
first11,100000062392,10_2024,65,92.01
first11,100000062392,11_2023,65,94.8
first11,100000062392,11_2024,65,116.55
first11,100000062392,12_2023,65,117.21000000000001
first11,100000062392,12_2024,65,95.46000000000001
first11,100000062392,1_2023,65,87.21000000000001
first11,100000062392,1_2024,65,129.81
first11,100000062392,1_2025,65,159.81
first11,100000062392,2_2023,65,86.73
first11,100000062392,2_2024,65,124.14
first11,100000062392,2_2025,65,85.23
first11,100000062392,3_2023,65,117.21000000000001
first11,100000062392,3_2024,65,87.21000000000001
first11,100000062392,3_2025,65,88.71000000000001
first11,100000062392,4_2023,65,98.10000000000001
first11,100000062392,4_2024,65,502.8
first11,100000062392,4_2025,65,129.75
first11,100000062392,5_2023,65,118.71000000000001
first11,100000062392,5_2024,65,125.46000000000001
first11,100000062392,5_2025,65,87.21000000000001
first11,100000062392,6_2023,65,86.55
first11,100000062392,6_2024,65,86.55
first11,100000062392,6_2025,65,117.39
first11,100000062392,7_2023,65,166.56
first11,100000062392,7_2024,65,161.31
first11,100000062392,8_2023,65,88.71
first11,100000062392,8_2024,65,87.21000000000001
first11,100000062392,9_2023,65,86.55
first11,100000062392,9_2024,65,124.8
first11,100000062393,10_2023,65,123.66
first11,100000062393,10_2024,65,92.01
