eo_code,Заказ,Сообщение,Вид заказа,Вид работы ТОРО,Время ремонтного простоя (Зкз),Базисный срок начала,Базисный срок конца,БЕ,СчетГруппТехкарт,Группа,Системный статус сообщения ТОРО,СистСтатус,Время ремонтного простоя (ТК),Метка удаления,Фактический простой,Класс ЕО
100000006410,1100773464,7100762971,APP1,ТР,"55,00",3/10/2023,3/12/2023,1200,ТУ,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"55,00",,"0,00",E01_01
100000006410,1100766947,7100757051,APP1,ТО1,"6,00",3/10/2023,3/10/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006410,1100767541,7100757065,APP1,ТО2,"10,00",3/21/2023,3/21/2023,1200,О2,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"10,00",,"0,00",E01_01
100000006410,1100773443,7100762943,APP1,ТР,"24,00",3/21/2023,3/22/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006410,1100773399,7100762936,APP1,ТР,"12,00",4/2/2023,4/2/2023,1200,ТЭ,M0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"5,00",,"0,00",E01_01
100000006410,1100766948,7100757052,APP1,ТО1,"6,00",4/2/2023,4/2/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006410,1100767549,7100757073,APP1,ТО3,"14,00",4/13/2023,4/13/2023,1200,О3,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"14,00",,"0,00",E01_01
100000006410,1100773444,7100762944,APP1,ТР,"24,00",4/24/2023,4/25/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006410,1100766949,7100757053,APP1,ТО1,"6,00",4/24/2023,4/24/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006410,1100767542,7100757066,APP1,ТО2,"10,00",5/6/2023,5/6/2023,1200,О2,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"10,00",,"0,00",E01_01
100000006410,1100773445,7100762945,APP1,ТР,"24,00",5/17/2023,5/18/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006410,1100766950,7100757054,APP1,ТО1,"6,00",5/17/2023,5/17/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006410,1100767552,7100757076,APP1,ТО4,"24,00",5/29/2023,5/30/2023,1200,О4,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"24,00",,"0,00",E01_01
100000006410,1100766951,7100757055,APP1,ТО1,"6,00",6/9/2023,6/9/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006410,1100767543,7100757067,APP1,ТО2,"10,00",6/20/2023,6/20/2023,1200,О2,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"10,00",,"0,00",E01_01
100000006410,1100773446,7100762946,APP1,ТР,"24,00",6/20/2023,6/21/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006410,1100766952,7100757056,APP1,ТО1,"6,00",7/2/2023,7/2/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
100000006410,1100773460,7100762937,APP1,ТР,"55,00",7/13/2023,7/15/2023,1200,ТУ,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"55,00",,"0,00",E01_01
100000006410,1100767550,7100757074,APP1,ТО3,"14,00",7/13/2023,7/13/2023,1200,О3,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"14,00",,"0,00",E01_01
100000006410,1100773447,7100762947,APP1,ТР,"24,00",7/25/2023,7/26/2023,1200,ТР,O0000143,СОРА ЗКПР,ОТКР ПКАЛ ДМНП KKMP,"24,00",,"0,00",E01_01
100000006410,1100766953,7100757057,APP1,ТО1,"6,00",7/25/2023,7/25/2023,1200,О1,O0000002,СОРА ЗКПР,ОТКР ПКАЛ ДМНП,"6,00",,"0,00",E01_01
