,Название ЕО,ЕО,Название ВРТ,ВидЗаказа,Заказ,КраткийТекст заказа,СистСтатус,ПользСтатус,ПланДатаНачала,НовДатаНачала,eo_main_class_description,level_1_description,Вышестоящее техместо,Комментарий,comment_category,calc
85,Самосвал карьерный HD1500-8 №1623,100000006410,Текущий ремонт,APP1,1100380777,ТР Самосвал HD1500-8 №1623,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ СГГС,2022-01-20,2022-03-29,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD1500-8,нет комментария,нет комментария,1
86,Самосвал карьерный HD785-5 №1606,100000008664,Техническое обслуживание 1,APP1,1100532596,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-21,2022-02-10,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD785-5,Корректировка ремонтной программы,Корректировка ремонтной программы,1
87,Самосвал карьерный 785C №1619,100000008673,Текущий ремонт,APP1,1100381162,ТР Самосвал 785C №1619,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2022-01-21,2022-02-22,Самосвалы карьерные,Полюс Вернинское,Самосвалы CAT 785C,Корректировка ремонтной программы,Корректировка ремонтной программы,1
88,Самосвал карьерный 785C №1619,100000008673,Техническое обслуживание 1,APP1,1100358662,Техническое обслуживание 1,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ СРОЧ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-21,2022-02-15,Самосвалы карьерные,Полюс Вернинское,Самосвалы CAT 785C,Корректировка ремонтной программы,Корректировка ремонтной программы,1
89,Самосвал карьерный HD785-7 №1611,100000008668,Текущий ремонт,APP1,1100380625,ТР Самосвал HD785-7 №1611,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ НЕД  УТВН ГИП  ПТОМ ПЗТГ СГГС,2022-01-21,2022-02-04,Самосвалы карьерные,Полюс Вернинское,Самосвалы Komatsu HD785-7,Корректировка ремонтной программы,Корректировка ремонтной программы,1
93,Самосвал карьерный БЕЛАЗ-7547 №2443,100000068229,Текущий ремонт,APP1,1100368848,ТР БелАЗ 7547 №3 СЛ,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2022-01-22,2022-02-15,Самосвалы карьерные,Полюс Вернинское,Самосвалы БелАЗ-7547,Корректировка ремонтной программы,Корректировка ремонтной программы,1
94,Самосвал карьерный БЕЛАЗ-7547 №2443,100000068229,Техническое обслуживание 4,APP1,1100368912,ТО-4 БелАЗ 7451 СЛ №3,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ МТРЦ ТКБЕ ПЗТГ СГГС,2022-01-22,2022-02-24,Самосвалы карьерные,Полюс Вернинское,Самосвалы БелАЗ-7547,Корректировка ремонтной программы,Корректировка ремонтной программы,1
96,Самосвал карьерный БЕЛАЗ-7547 №2445,100000068231,Текущий ремонт,APP1,1100368852,ТР БелАЗ 7547 №5 СЛ,ОТКР ПКАЛ ДМНП KKMP,ГОД  УТВГ МЕС  УТВМ ГИП  ПТОМ ПЗТГ СГГС,2022-01-23,2022-02-08,Самосвалы карьерные,Полюс Вернинское,Самосвалы БелАЗ-7547,Корректировка ремонтной программы,Корректировка ремонтной программы,1
97,Экскаватор гидравл. PC2000-8 №1203,100000009138,Текущий ремонт 1,APP1,1100353786,ТР1 рабочего оборудования,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ ТРКБ СРОЧ МТРЦ ТКБЕ СГГС,2022-01-23,2022-03-24,Экскаваторы гидравли,Полюс Вернинское,Экскаваторы,нет комментария,нет комментария,1
98,Экскаватор гидравл. PC2000-8 №1203,100000009138,Текущий ремонт 1,APP1,1100353786,ТР1 рабочего оборудования,ОТКР ПКАЛ ДМНП,ГОД  УТВГ УТВП МЕС  УТВМ ГИП  ПТОМ ТРКБ СРОЧ МТРЦ ТКБЕ СГГС,2022-01-23,2022-03-24,Экскаваторы гидравли,Полюс Вернинское,Экскаваторы,нет комментария,нет комментария,1
