код стратегии,Название стратерии,Текст цикла ПредупрТОРО,КраткНазвЦикла,Сцепка,Цикл,Единица,код стратегии_счетчик
1-0006,ЧАС О1240-О2504-О31008-КР16008,Техническое обслуживание 1,О1,1-0006О1,"240,00",ЧАС,1-0006О1
1-0006,ЧАС О1240-О2504-О31008-КР16008,Техническое обслуживание 2,О2,1-0006О2,"504,00",ЧАС,1-0006О2
1-0006,ЧАС О1240-О2504-О31008-КР16008,Техническое обслуживание 3,О3,1-0006О3,"1008,00",ЧАС,1-0006О3
1-0006,ЧАС О1240-О2504-О31008-КР16008,Капитальный ремонт,КР,1-0006КР,"16008,00",ЧАС,1-0006КР
1-0007,ЧАС ТР720,Текущий ремонт,ТР,1-0007ТР,"720,00",ЧАС,1-0007ТР
1-0008,ЧАС ЗД16008,Замена двигателя,ЗД,1-0008ЗД,"16008,00",ЧАС,1-0008ЗД
1-0009,ЧАС ТР8640-КР77760,Текущий ремонт,ТР,1-0009ТР,"8640,00",ЧАС,1-0009ТР
1-0009,ЧАС ТР8640-КР77760,Капитальный ремонт,КР,1-0009КР,"77760,00",ЧАС,1-0009КР
1-0010,ЧАС ТР8640-КР51840,Текущий ремонт,ТР,1-0010ТР,"8640,00",ЧАС,1-0010ТР
1-0010,ЧАС ТР8640-КР51840,Капитальный ремонт,КР,1-0010КР,"51840,00",ЧАС,1-0010КР
1-0011,ЧАС ТО2160,Техническое обслуживание,ТО,1-0011ТО,"2160,00",ЧАС,1-0011ТО
1-0012,ЧАС О148-О2240-О31008-КР4992,Техническое обслуживание 1,О1,1-0012О1,"48,00",ЧАС,1-0012О1
1-0012,ЧАС О148-О2240-О31008-КР4992,Техническое обслуживание 2,О2,1-0012О2,"240,00",ЧАС,1-0012О2
1-0012,ЧАС О148-О2240-О31008-КР4992,Техническое обслуживание 3,О3,1-0012О3,"1008,00",ЧАС,1-0012О3
1-0012,ЧАС О148-О2240-О31008-КР4992,Капитальный ремонт,КР,1-0012КР,"4992,00",ЧАС,1-0012КР
1-0013,ЧАС О148-О2240-КР4992,Техническое обслуживание 1,О1,1-0013О1,"48,00",ЧАС,1-0013О1
1-0013,ЧАС О148-О2240-КР4992,Техническое обслуживание 2,О2,1-0013О2,"240,00",ЧАС,1-0013О2
1-0013,ЧАС О148-О2240-КР4992,Капитальный ремонт,КР,1-0013КР,"4992,00",ЧАС,1-0013КР
1-0014,ЧАС ТО504-ТР1008-КР4992,Техническое обслуживание,ТО,1-0014ТО,"504,00",ЧАС,1-0014ТО
1-0014,ЧАС ТО504-ТР1008-КР4992,Текущий ремонт,ТР,1-0014ТР,"1008,00",ЧАС,1-0014ТР
1-0014,ЧАС ТО504-ТР1008-КР4992,Капитальный ремонт,КР,1-0014КР,"4992,00",ЧАС,1-0014КР
1-0015,ЧАС ТО2160-ТР4320-Т1-Т2-КР,Техническое обслуживание,ТО,1-0015ТО,"2160,00",ЧАС,1-0015ТО
1-0015,ЧАС ТО2160-ТР4320-Т1-Т2-КР,Текущий ремонт,ТР,1-0015ТР,"4320,00",ЧАС,1-0015ТР
1-0015,ЧАС ТО2160-ТР4320-Т1-Т2-КР,Текущий ремонт 1,Т1,1-0015Т1,"8640,00",ЧАС,1-0015Т1
1-0015,ЧАС ТО2160-ТР4320-Т1-Т2-КР,Текущий ремонт 2,Т2,1-0015Т2,"17280,00",ЧАС,1-0015Т2
1-0015,ЧАС ТО2160-ТР4320-Т1-Т2-КР,Капитальный ремонт,КР,1-0015КР,"25920,00",ЧАС,1-0015КР
1-0016,ЧАС ТО720-ТР4320,Техническое обслуживание,ТО,1-0016ТО,"720,00",ЧАС,1-0016ТО
