Год,Месяц,БЕ,Класс ЕО,Модель ЕО,count,month_year
2023,3,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,3_2023
2023,4,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,69,4_2023
2023,4,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,4_2023
2023,4,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,4_2023
2023,4,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,4_2023
2023,5,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,69,5_2023
2023,5,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,5_2023
2023,5,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,5_2023
2023,5,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,5_2023
2023,6,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,69,6_2023
2023,6,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,6_2023
2023,6,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,6_2023
2023,6,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,6_2023
2023,7,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,40,7_2023
2023,7,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,7_2023
2023,7,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,7_2023
2023,7,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,7_2023
2023,8,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,40,8_2023
2023,8,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,8_2023
2023,8,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,8_2023
2023,8,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,8_2023
2023,9,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,40,9_2023
2023,9,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 793D,82,9_2023
2023,9,Полюс Вернинское,Самосвалы карьерные,Самосвалы CAT 785C,2,9_2023
2023,9,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,17,9_2023
