ЕО,Дата начала эксплуатации,Дата завершения эксплуатации,БЕ,Класс ЕО,Модель ЕО,Наименование ЕО,count
100000084412,2018-09-10,2030-09-10,Полюс Магадан,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №29,1
sl_730_1,2024-09-01,2034-09-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №1 (для расчета),1
sl_730_2,2024-09-01,2034-09-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №2 (для расчета),1
sl_730_3,2024-09-01,2034-09-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №3 (для расчета),1
sl_730_4,2024-09-01,2034-09-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №4 (для расчета),1
sl_730_5,2024-09-01,2034-09-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №5 (для расчета),1
sl_730_6,2024-09-01,2034-09-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №6 (для расчета),1
sl_730_7,2024-09-01,2034-09-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №7 (для расчета),1
sl_730_8,2024-09-01,2034-09-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №8 (для расчета),1
sl_730_9,2024-09-01,2034-09-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №9 (для расчета),1
sl_730_10,2024-09-01,2034-09-01,Сухой Лог,Самосвалы карьерные,Самосвалы Komatsu 730E-8,Самосвал карьерный 730E-8 №10(для расчета),1
