eo,year,month,calendar_fond,downtime_status
100000008673,2026,8,744,"59,14"
100000008673,2026,9,720,"77,82000000000001"
100000008673,2026,10,744,"79,14"
100000008673,2026,11,720,"59,14"
100000008673,2026,12,744,"78,48"
100000008673,2027,1,744,"88,48"
100000008673,2027,2,672,"282,56"
100000008673,2027,3,744,"78,48"
100000008673,2027,4,720,"59,14"
100000008673,2027,5,744,"79,14"
100000008673,2027,6,720,"77,82000000000001"
100000008673,2027,7,744,"59,14"
100000008673,2027,8,744,"79,14"
100000008673,2027,9,720,"78,48"
100000008673,2027,10,744,"59,14"
100000008673,2027,11,720,"77,82000000000001"
100000008673,2027,12,744,"78,48"
100000008673,2028,1,744,"59,800000000000004"
100000008673,2028,2,696,"77,16"
100000008673,2028,3,744,"59,14"
100000008673,2028,4,720,"77,82000000000001"
100000008673,2028,5,744,"380,56"
100000008673,2028,6,720,"281,88"
100000008673,2028,7,744,"78,48"
100000008673,2028,8,744,"78,48"
100000008673,2028,9,720,"59,14"
100000008673,2028,10,744,"78,48"
100000008673,2028,11,720,"65,48"
100000008673,2028,12,744,"71,48"
100000008673,2029,1,744,"79,14"
100000008673,2029,2,672,"57,160000000000004"
100000008673,2029,3,744,"78,48"
100000008673,2029,4,720,"77,82000000000001"
100000008673,2029,5,744,"59,14"
100000008673,2029,6,720,"79,14"
100000008673,2029,7,744,"78,48"
100000008673,2029,8,744,"59,14"
100000008673,2029,9,720,"313,22"
100000008673,2029,10,744,"78,48"
100000008673,2029,11,720,"58,480000000000004"
100000008673,2029,12,744,"79,14"
100000084396,2018,3,383,"17,56"
100000084396,2018,4,720,"49,14"
100000084396,2018,5,744,"39,14"
100000084396,2018,6,720,"47,800000000000004"
100000084396,2018,7,744,"57,480000000000004"
100000084396,2018,8,744,"45,46"
100000084396,2018,9,720,"44,480000000000004"
100000084396,2018,10,744,"58,480000000000004"
100000084396,2018,11,720,"44,14"
100000084396,2018,12,744,"50,480000000000004"
100000084396,2019,1,744,"39,46"
100000084396,2019,2,672,"50,160000000000004"
100000084396,2019,3,744,"60,800000000000004"
100000084396,2019,4,720,"38,480000000000004"
100000084396,2019,5,744,"44,14"
100000084396,2019,6,720,"85,16"
100000084396,2019,7,744,"48,46"
100000084396,2019,8,744,"46,8"
100000084396,2019,9,720,"68,48"
100000084396,2019,10,744,"55,8"
100000084396,2019,11,720,"43,480000000000004"
100000084396,2019,12,744,"57,14"
100000084396,2020,1,744,"63,14"
100000084396,2020,2,696,"42,480000000000004"
100000084396,2020,3,744,"67,14"
100000084396,2020,4,720,"54,480000000000004"
100000084396,2020,5,744,"64,14"
100000084396,2020,6,720,"43,8"
100000084396,2020,7,744,"54,480000000000004"
100000084396,2020,8,744,"92,14"
100000084396,2020,9,720,"43,14"
100000084396,2020,10,744,"56,14"
100000084396,2020,11,720,"109,16"
100000084396,2020,12,744,"586,62"
100000084396,2021,1,744,"67,48"
