ЕО,eo_model_id,Дата начала эксплуатации,Дата завершения эксплуатации,БЕ,Класс ЕО,Модель ЕО,Наименование ЕО,count
100000054864,27,2020-10-30,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D65EX,Бульдозер D65EX-16 №3315,1
100000062367,Списание,2009-03-31,2022-01-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №402,1
100000054863,27,2020-10-30,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D65EX,Бульдозер D65EX-16 №3314,1
100000062368,Списание,2009-05-06,2021-12-31,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №406,1
100000024786,31,2021-05-01,2030-01-01,Полюс Вернинское,Бульдозеры гусеничные,Бульдозер D9R,Бульдозер D9R №1407,1
100000068223,23,2021-01-01,2030-01-01,Полюс Вернинское,Бульдозеры гусеничные,Бульдозер D375А-6,Бульдозер D375А-6 №1415,1
100000068224,21,2021-01-01,2030-01-01,Полюс Вернинское,Бульдозеры гусеничные,Бульдозер D155A-5,Бульдозер D155A-5 №1410,1
100000055013,29,2021-02-23,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D85EХ,Бульдозер D85EX-15 №3318,1
100000055032,27,2021-02-24,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D65EX,Бульдозер D65PX-16 №3309,1
100000062374,Списание,2009-06-29,2021-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №410,1
100000062375,Списание,2009-06-16,2021-07-01,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,Самосвал карьерный 785C №408,1
100000055033,27,2021-11-12,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D65EX,Бульдозер D65EX-16 №3311,1
100000055034,27,2021-12-20,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D65EX,Бульдозер D65EX-16 №3316,1
100000077982,27,2021-12-20,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D65EX,Бульдозер D65EX-16 №3319,1
100000055035,27,2021-11-12,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D65EX,Бульдозер D65EX-16 №3317,1
100000055010,24,2021-12-01,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №3219,1
100000055011,25,2021-12-28,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D475A-5,Бульдозер D475A-5 №3223,1
100000009140,31,2021-09-10,2030-01-01,Полюс Вернинское,Бульдозеры гусеничные,Бульдозер D9R,Бульдозер D9R №1402,1
100000009139,31,2007-05-30,2030-01-01,Полюс Вернинское,Бульдозеры гусеничные,Бульдозер D9R,Бульдозер D9R №1401,1
100000009141,31,2012-05-30,2030-01-01,Полюс Вернинское,Бульдозеры гусеничные,Бульдозер D9R,Бульдозер D9R №1403,1
100000009143,28,2013-04-29,2030-01-01,Полюс Вернинское,Бульдозеры гусеничные,Бульдозер D6R,Бульдозер D6R №1405,1
100000009142,31,2013-06-29,2030-01-01,Полюс Вернинское,Бульдозеры гусеничные,Бульдозер D9R,Бульдозер D9R №1404,1
100000009144,21,2014-06-01,2030-01-01,Полюс Вернинское,Бульдозеры гусеничные,Бульдозер D155A-5,Бульдозер D155A-5 №1412,1
100000009146,24,2014-06-01,2030-01-01,Полюс Вернинское,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №1414,1
100000009145,24,2014-07-02,2030-01-01,Полюс Вернинское,Бульдозеры гусеничные,Бульдозер D375A-5,Бульдозер D375A-5 №1413,1
100000055008,21,2022-01-01,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D155A-5,Бульдозер D155A-5 №3312,1
100000055009,21,2022-01-01,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D155A-5,Бульдозер D155A-5 №3313,1
100000078364,21,2022-09-01,2030-01-01,Олимпиадинский ГОК,Бульдозеры гусеничные,Бульдозер D155A-5,Бульдозер D155A-5 №3320,1
