,level_1_description,eo_class_description,eo_model_name,year,month,eo_code,count
112,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2019,2,100000062379,1
113,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2019,3,100000062379,1
114,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2019,4,100000062379,1
115,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2019,5,100000062379,1
116,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2019,6,100000062379,1
117,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2019,7,100000062379,1
118,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2019,8,100000062379,1
119,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2019,9,100000062379,1
120,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2019,10,100000062379,1
121,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2019,11,100000062379,1
122,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2019,12,100000062379,1
123,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2020,1,100000062379,1
124,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2020,2,100000062379,1
125,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2020,3,100000062379,1
126,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2020,4,100000062379,1
127,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2020,5,100000062379,1
128,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2020,6,100000062379,1
129,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2020,7,100000062379,1
130,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2020,8,100000062379,1
131,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2020,9,100000062379,1
132,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2020,10,100000062379,1
133,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2020,11,100000062379,1
134,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2020,12,100000062379,1
